"asin","brand","title","url","image","rating","reviewUrl","totalReviews","price","originalPrice"
"B0000SX2UC",,"Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen","https://www.amazon.com/Dual-Band-Tri-Mode-Activated-Dialing-Backlit/dp/B0000SX2UC","https://m.media-amazon.com/images/I/2143EBQ210L._AC_UY218_ML3_.jpg",3,"https://www.amazon.com/product-reviews/B0000SX2UC",14,0,0
"B0009N5L7K","Motorola","Motorola I265 phone","https://www.amazon.com/Motorola-i265-I265-phone/dp/B0009N5L7K","https://m.media-amazon.com/images/I/419WBAVDARL._AC_UY218_ML3_.jpg",3,"https://www.amazon.com/product-reviews/B0009N5L7K",7,"49.95",0
"B000SKTZ0S","Motorola","MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE","https://www.amazon.com/MOTOROLA-C168i-CINGULAR-PREPAID-GOPHONE/dp/B000SKTZ0S","https://m.media-amazon.com/images/I/71b+q3ydkIS._AC_UY218_ML3_.jpg","2.7","https://www.amazon.com/product-reviews/B000SKTZ0S",22,"99.99",0
"B001AO4OUC","Motorola","Motorola i335 Cell Phone Boost Mobile","https://www.amazon.com/Motorola-i335-Phone-Boost-Mobile/dp/B001AO4OUC","https://m.media-amazon.com/images/I/710UO8gdT+L._AC_UY218_ML3_.jpg","3.3","https://www.amazon.com/product-reviews/B001AO4OUC",21,0,0
"B001DCJAJG","Motorola","Motorola V365 no contract cellular phone AT&T","https://www.amazon.com/Motorola-V365-contract-cellular-phone/dp/B001DCJAJG","https://m.media-amazon.com/images/I/61LYNCVrrKL._AC_UY218_ML3_.jpg","3.1","https://www.amazon.com/product-reviews/B001DCJAJG",12,"149.99",0
"B001GQ3DJM","Nokia","Nokia 1680 Black Phone (T-Mobile)","https://www.amazon.com/Nokia-1680-Black-Phone-T-Mobile/dp/B001GQ3DJM","https://m.media-amazon.com/images/I/41X4VeqkFOL._AC_UY218_ML3_.jpg","2.7","https://www.amazon.com/product-reviews/B001GQ3DJM",3,0,0
"B0029F2O3A","Samsung","Samsung Alias2 U750 Phone, Black (Verizon Wireless)","https://www.amazon.com/Samsung-Alias2-Phone-Verizon-Wireless/dp/B0029F2O3A","https://m.media-amazon.com/images/I/41HWHpfPlML._AC_UY218_ML3_.jpg",3,"https://www.amazon.com/product-reviews/B0029F2O3A",29,0,0
"B002AS9WEA","Samsung","Samsung a167 Prepaid GoPhone (AT&T)","https://www.amazon.com/Samsung-a167-Prepaid-GoPhone-AT/dp/B002AS9WEA","https://m.media-amazon.com/images/I/61OXcZ-oefL._AC_UY218_ML3_.jpg","2.9","https://www.amazon.com/product-reviews/B002AS9WEA",18,0,0
"B002UHS0UI","Motorola","Verizon Wireless Motorola RAZR V3m - Silver","https://www.amazon.com/Verizon-Wireless-Motorola-RAZR-V3m/dp/B002UHS0UI","https://m.media-amazon.com/images/I/61pVtPaTkML._AC_UY218_ML3_.jpg","2.7","https://www.amazon.com/product-reviews/B002UHS0UI",208,0,0
"B002WTC1NG","Motorola","Motorola Barrage V860 Phone (Verizon Wireless)","https://www.amazon.com/Motorola-Barrage-V860-Verizon-Wireless/dp/B002WTC1NG","https://m.media-amazon.com/images/I/81k6Nq0KI1L._AC_UY218_ML3_.jpg","3.6","https://www.amazon.com/product-reviews/B002WTC1NG",352,"139.99",0
"B0033SFV5A","Samsung","Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone","https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A","https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg","3.3","https://www.amazon.com/product-reviews/B0033SFV5A",57,"64.99",0
"B003FCO9XE","Samsung","Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA","https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE","https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg","2.6","https://www.amazon.com/product-reviews/B003FCO9XE",78,"99.99",0
"B003P2VNAQ","Samsung","Samsung Rugby II, Black (AT&T)","https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ","https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_ML3_.jpg","3.6","https://www.amazon.com/product-reviews/B003P2VNAQ",70,179,0
"B003W646YK","Motorola","Motorola i570 Nextel iDen PTT rugged black cell phone","https://www.amazon.com/Motorola-i570-Nextel-rugged-black/dp/B003W646YK","https://m.media-amazon.com/images/I/51oFJfZ-LcL._AC_UY218_ML3_.jpg","2.9","https://www.amazon.com/product-reviews/B003W646YK",3,79,0
"B003XREZ4O","Samsung","Samsung Gusto, Black (Verizon Wireless)","https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O","https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_ML3_.jpg","3.4","https://www.amazon.com/product-reviews/B003XREZ4O",16,"99.99",0
"B0046REOWS","Samsung","Samsung T201G Prepaid Phone (Net10)","https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS","https://m.media-amazon.com/images/I/91zoUJ+sJKL._AC_UY218_ML3_.jpg","3.6","https://www.amazon.com/product-reviews/B0046REOWS",22,"64.94",0
"B004C7NVD0","Samsung","Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon","https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0","https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_ML3_.jpg","3.2","https://www.amazon.com/product-reviews/B004C7NVD0",107,"199.99",0
"B004GLQTG8","Samsung","Samsung R355C Net 10 Unlimited","https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8","https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_ML3_.jpg","3.5","https://www.amazon.com/product-reviews/B004GLQTG8",146,"79.99",0
"B004H23JXW","Samsung","Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)","https://www.amazon.com/Samsung-I917-Unlocked-Wi-Fi-No-Warranty/dp/B004H23JXW","https://m.media-amazon.com/images/I/81s0xgVWDOL._AC_UY218_ML3_.jpg","3.4","https://www.amazon.com/product-reviews/B004H23JXW",349,0,0
"B004MK9VLS","Nokia","Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit","https://www.amazon.com/Nokia-C3-Prepaid-GoPhone-Airtime/dp/B004MK9VLS","https://m.media-amazon.com/images/I/71uSQY79zZL._AC_UY218_ML3_.jpg",3,"https://www.amazon.com/product-reviews/B004MK9VLS",7,0,0
"B004YBP8EY","Samsung","Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White","https://www.amazon.com/Samsung-SA-S5260WESP-Cellphone-Unlocked-Warranty/dp/B004YBP8EY","https://m.media-amazon.com/images/I/41S2alAozSL._AC_UY218_ML3_.jpg","3.1","https://www.amazon.com/product-reviews/B004YBP8EY",23,0,0
"B005B3OXWC","Samsung","Samsung Freeform III Prepaid Phone (MetroPCS)","https://www.amazon.com/Samsung-Freeform-Prepaid-Phone-MetroPCS/dp/B005B3OXWC","https://m.media-amazon.com/images/I/81l1bw5bs7L._AC_UY218_ML3_.jpg","3.1","https://www.amazon.com/product-reviews/B005B3OXWC",32,0,0
"B006OU39QW","Samsung","Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon","https://www.amazon.com/Verizon-Samsung-Convoy-Contract-Rugged/dp/B006OU39QW","https://m.media-amazon.com/images/I/91xMuzi75uL._AC_UY218_ML3_.jpg","4.1","https://www.amazon.com/product-reviews/B006OU39QW",252,0,0
"B006VH79R8","Samsung","Samsung Replenish Prepaid Android Phone (Boost Mobile)","https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8","https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_ML3_.jpg","3.7","https://www.amazon.com/product-reviews/B006VH79R8",84,"14.99",0
"B00727AODC","Samsung","Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black","https://www.amazon.com/Samsung-I677-Unlocked-Windows-Bluetooth/dp/B00727AODC","https://m.media-amazon.com/images/I/81O5HRPD1gL._AC_UY218_ML3_.jpg","3.1","https://www.amazon.com/product-reviews/B00727AODC",123,0,0
"B007LU0HU0","Samsung","Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone","https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0","https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_ML3_.jpg","2.5","https://www.amazon.com/product-reviews/B007LU0HU0",10,"249.99",0
"B007X6FFLS","Samsung","Samsung a157 GoPhone (AT&T)","https://www.amazon.com/Samsung-a157-GoPhone-AT-T/dp/B007X6FFLS","https://m.media-amazon.com/images/I/71Y+FpZYcFL._AC_UY218_ML3_.jpg","3.4","https://www.amazon.com/product-reviews/B007X6FFLS",305,"97.69",0
"B0081TDISI","Motorola","Motorola Brute i686 Rugged PTT For Sprint","https://www.amazon.com/Motorola-Brute-i686-Rugged-Sprint/dp/B0081TDISI","https://m.media-amazon.com/images/I/614NiqhyYOL._AC_UY218_ML3_.jpg","2.8","https://www.amazon.com/product-reviews/B0081TDISI",10,0,0
"B00836Y6B2","Nokia","Nokia Lumia 900 Black Factory Unlocked","https://www.amazon.com/Nokia-Lumia-900-Factory-Unlocked/dp/B00836Y6B2","https://m.media-amazon.com/images/I/81ZlbLtZ3PL._AC_UY218_ML3_.jpg","3.2","https://www.amazon.com/product-reviews/B00836Y6B2",929,"109.98",0
"B008PAW5EQ","Samsung","Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)","https://www.amazon.com/Samsung-Gusto-Prepaid-Verizon-Wireless/dp/B008PAW5EQ","https://m.media-amazon.com/images/I/71KNeSQtVfL._AC_UY218_ML3_.jpg","3.7","https://www.amazon.com/product-reviews/B008PAW5EQ",74,0,0
"B0096DERAG","Motorola","Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR","https://www.amazon.com/Motorola-Computer-Windows-Mobile-MC75A8-PYFSWQRA9WR/dp/B0096DERAG","https://m.media-amazon.com/images/I/51tGSJTIQmL._AC_UY218_ML3_.jpg",1,"https://www.amazon.com/product-reviews/B0096DERAG",1,"499.95",0
"B0096QYH80","Motorola","Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White","https://www.amazon.com/Motorola-Droid-RAZR-Verizon-Wireless/dp/B0096QYH80","https://m.media-amazon.com/images/I/71-afm8RuLL._AC_UY218_ML3_.jpg",3,"https://www.amazon.com/product-reviews/B0096QYH80",488,"349.99",0
"B009LRMQTG","Motorola","Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black","https://www.amazon.com/Telcel-America-Motorola-Pre-Paid-Phone/dp/B009LRMQTG","https://m.media-amazon.com/images/I/814kh7KdbtL._AC_UY218_ML3_.jpg","3.9","https://www.amazon.com/product-reviews/B009LRMQTG",196,"99.99",0
"B00A2V7BA4","Nokia","Nokia Lumia 920, Black 32GB (AT&T)","https://www.amazon.com/Nokia-Lumia-920-Black-32GB/dp/B00A2V7BA4","https://m.media-amazon.com/images/I/61UTfUPGH1L._AC_UY218_ML3_.jpg","3.4","https://www.amazon.com/product-reviews/B00A2V7BA4",468,"209.67",0
