asin	brand	title	rating	totalReviews	price	originalPrice
B0000SX2UC	Mimarca	Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen	3	14	0	0
B0009N5L7K	Motorola	Motorola I265 phone	3	7	4995	0
B000SKTZ0S	Motorola	MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE	27	22	9999	0
B001AO4OUC	Motorola	Motorola i335 Cell Phone Boost Mobile	33	21	0	0
B001DCJAJG	Motorola	Motorola V365 no contract cellular phone AT&T	31	12	14999	0
B001GQ3DJM	Nokia	Nokia 1680 Black Phone (T-Mobile)	27	3	0	0
B0029F2O3A	Samsung	Samsung Alias2 U750 Phone, Black (Verizon Wireless)	3	29	0	0
B002AS9WEA	Samsung	Samsung a167 Prepaid GoPhone (AT&T)	29	18	0	0
B002UHS0UI	Motorola	Verizon Wireless Motorola RAZR V3m - Silver	27	208	0	0
B002WTC1NG	Motorola	Motorola Barrage V860 Phone (Verizon Wireless)	36	352	13999	0
B0033SFV5A	Samsung	Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone	33	57	6499	0
B003FCO9XE	Samsung	Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA	26	78	9999	0
B003P2VNAQ	Samsung	Samsung Rugby II, Black (AT&T)	36	70	179	0
B003W646YK	Motorola	Motorola i570 Nextel iDen PTT rugged black cell phone	29	3	79	0
B003XREZ4O	Samsung	Samsung Gusto, Black (Verizon Wireless)	34	16	9999	0
B0046REOWS	Samsung	Samsung T201G Prepaid Phone (Net10)	36	22	6494	0
B004C7NVD0	Samsung	Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon	32	107	19999	0
B004GLQTG8	Samsung	Samsung R355C Net 10 Unlimited	35	146	7999	0
B004H23JXW	Samsung	Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)	34	349	0	0
B004MK9VLS	Nokia	Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit	3	7	0	0
B004YBP8EY	Samsung	Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White	31	23	0	0
B005B3OXWC	Samsung	Samsung Freeform III Prepaid Phone (MetroPCS)	31	32	0	0
B006OU39QW	Samsung	Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon	41	252	0	0
B006VH79R8	Samsung	Samsung Replenish Prepaid Android Phone (Boost Mobile)	37	84	1499	0
B00727AODC	Samsung	Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black	31	123	0	0
B007LU0HU0	Samsung	Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone	25	10	24999	0
B007X6FFLS	Samsung	Samsung a157 GoPhone (AT&T)	34	305	9769	0
B0081TDISI	Motorola	Motorola Brute i686 Rugged PTT For Sprint	28	10	0	0
B00836Y6B2	Nokia	Nokia Lumia 900 Black Factory Unlocked	32	929	10998	0
B008PAW5EQ	Samsung	Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)	37	74	0	0
B0096DERAG	Motorola	Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR	1	1	49995	0
B0096QYH80	Motorola	Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White	3	488	34999	0
